#Transcript position	Transcript coverage profile
0.0	0.08649512582424003
1.0	0.0892422323931824
2.0	0.04899575360602328
3.0	0.0199211873889454
4.0	0.022010541092112035
5.0	0.0732115024463841
6.0	0.06240123589741278
7.0	0.10642087405229006
8.0	0.14025875373821153
9.0	0.12099347199504275
10.0	0.09225915552108546
11.0	0.0823702784215216
12.0	0.0447974892756194
13.0	0.039255706846716795
14.0	0.04392288969399106
15.0	0.05206825443155269
16.0	0.050306997598231415
17.0	0.07251296324899344
18.0	0.04980141570047325
19.0	0.02601428305519278
20.0	0.050028264285190756
21.0	0.06257180710293746
22.0	0.05846549276437646
23.0	0.04540990099947589
24.0	0.03187338311495147
25.0	0.03843079073639936
26.0	0.030603848769056897
27.0	0.058456367822485235
28.0	0.07196720960223163
29.0	0.06665593199596424
30.0	0.05534538002795445
31.0	0.05333689710174348
32.0	0.01842487320096782
33.0	0.017691862267695282
34.0	0.05168197101853062
35.0	0.06202016891771551
36.0	0.0738818682928797
37.0	0.061780104120717355
38.0	0.039144241682986775
39.0	0.059694193057271264
40.0	0.1200047994918428
41.0	0.13906158003857783
42.0	0.09797887349342127
43.0	0.08849186703243828
44.0	0.06506272409349306
45.0	0.07489138462245393
46.0	0.0648264357678876
47.0	0.062771177018056
48.0	0.047825130452274794
49.0	0.06757512244515847
50.0	0.04405254913283378
51.0	0.05484406047246765
52.0	0.014317457729420726
53.0	0.011571230254144247
54.0	0.01607897753660832
55.0	0.0563782043162239
56.0	0.10980449618754785
57.0	0.14290208332099072
58.0	0.12445913761339054
59.0	0.0754030479728155
60.0	0.07284054532827237
61.0	0.07743927177928732
62.0	0.09427167182791937
63.0	0.1062853190517145
64.0	0.16972877735786543
65.0	0.12689689144770552
66.0	0.15536131737653058
67.0	0.2243346302298723
68.0	0.18735511002465932
69.0	0.17544498246224421
70.0	0.2452303447038485
71.0	0.3157120215953161
72.0	0.17408822004291458
73.0	0.1332358618414162
74.0	0.09641608636131328
75.0	0.08520606885129413
76.0	0.07352750253605826
77.0	0.10177380593877595
78.0	0.1038748823204097
79.0	0.11224165943159604
80.0	0.08269430670307368
81.0	0.06087443620477452
82.0	0.03710160456165248
83.0	0.014594105152832899
84.0	0.04994357473264065
85.0	0.08684656779818073
86.0	0.06535107882078098
87.0	0.0702044297069335
88.0	0.060923264667375396
89.0	0.051055582758549954
90.0	0.08241540822806295
91.0	0.058840256096617985
92.0	0.06705105727933779
93.0	0.12002947142480401
94.0	0.12551067138343014
95.0	0.1286248687427364
96.0	0.08257817684649237
97.0	0.043966133433363135
98.0	0.027456621385197357
99.0	0.012146199551661616
