NAME	DESCRIPTION	X5p4_25c	X5p4_27c	X5p4_28c	X5p4_29c	X5p4_30c	X5p4_31cfoxc1	X5p4_32cfoxc1	X5p4_33cfoxc1	X5p4_34cfoxc1	X5p4_35cfoxc1
ENSG00000000003	TSPAN6	7.16922670361652	7.4705155940573	8.17045598921757	7.96179587016736	7.93520304519486	7.22908545481601	7.27012055418875	7.50634599678461	7.96884885305318	7.9424441979689
ENSG00000000419	DPM1	8.13554845878133	8.02952015580574	8.1226200335383	8.01071992478562	7.97941853498572	7.80200050215648	8.25254288822291	8.14616877141183	8.08388303823236	7.87829524826405
ENSG00000000457	SCYL3	5.40512667353801	5.56106010254227	6.36516247048207	6.3123420927276	6.0742507412421	5.85013425584362	5.598943563879	5.71869307962801	5.81005482001981	5.76794162160651
ENSG00000000460	FIRRM	3.61870527511314	2.51486408881207	4.51881582087551	4.18578316926709	3.27881552351471	3.20610014906973	3.46482328168885	3.06700182978427	3.21997704822924	2.89120527001328
ENSG00000001036	FUCA2	8.50393482627458	8.72943836992933	8.0276928911355	8.01071992478562	8.24564378379183	8.28473345647994	8.51262674818385	8.57397064718882	8.29918029634765	8.27694795199323
ENSG00000001084	GCLC	10.6852562910758	10.6116143689811	9.27150256068971	8.93375011900805	8.94823254650848	10.7572390681849	10.810277475287	10.4564591556657	9.14089509527025	9.09153237212878
ENSG00000001167	NFYA	8.64277505984963	8.60916095745583	8.05059712583703	8.19134148345318	8.37422364135252	8.4709703328812	8.6302948163573	8.47270863875789	8.45262944564976	8.28191532080066
ENSG00000001460	STPG1	7.81249043846363	7.69721911647385	7.67655139814503	7.74760168293949	7.487555009394	7.9210678006011	7.72077148169491	7.4389124536504	7.39569798858966	7.38216211816457
ENSG00000001461	NIPAL3	9.0788179896588	9.07043456183458	10.2332759925782	9.84896505321447	9.81179804035416	9.15401437056518	9.12839417636173	9.07864295260651	9.00444387166356	9.03968668572373
ENSG00000001497	LAS1L	7.80644300277537	7.84063445976073	7.63168735911082	7.46996099998481	7.8356302370434	7.57871509181851	7.59699631952856	7.64578875848549	8.07278369866833	8.16310139515739
ENSG00000001617	SEMA3F	11.2258598278605	11.2856390902914	10.6012698844973	10.7124388293812	10.6812412378584	11.4803926782097	11.2842183910996	11.4194815704876	10.3599253485816	10.5056240161686
ENSG00000001629	ANKIB1	8.90010552649576	8.68384771502655	9.46720369315416	9.10123109141693	8.89975238684137	9.29086654709699	9.0950683571131	9.07371136491143	8.66707204824341	8.80794526909846
ENSG00000001630	CYP51A1	4.91409863991726	5.0054849423737	6.01536676777454	6.27277594054528	5.97790518271976	5.42817280959414	4.82705955655047	4.74583154198459	5.34017669759826	5.09441833877815
ENSG00000001631	KRIT1	5.72022939855444	5.37687266782811	4.86733266151499	4.85540626700354	5.44094350854775	5.23155621951549	5.80142013468882	5.74374747200223	4.96124068791335	5.30427005834004
ENSG00000002016	RAD52	5.5278175746947	5.89412492077228	5.23038618334029	4.80081484135023	5.11828292923567	5.96015953136551	6.20997594337296	5.92990777699171	5.37673793352488	5.34281128652216
ENSG00000002330	BAD	7.65985922606618	7.83468667355844	7.5696123144006	7.53829521098544	7.75070757989965	7.59926726011263	7.3368098454283	7.49163079521174	7.67061685220552	7.96732586603765
